GEOID,latino_2000,pctlatino_2000
39049000110,37,1.057747284
39049000120,26,0.826183667
39049000210,29,0.946475196
39049000220,33,0.85492228
39049000310,65,1.954887218
39049000320,47,1.906693712
39049000330,44,1.786439302
39049000410,69,2.787878788
39049000420,60,1.885014138
39049000500,74.71325,1.929423762
39049000600,102.2868,2.729328539
39049000710,73,2.161681966
39049000720,75,2.726281352
39049000730,48,1.227935533
39049000810,54,1.920341394
39049000820,44,1.264004596
39049000910,49,1.201864116
39049000920,48,1.862630966
39049001000,115,2.128053294
39049001110,60,1.784651993
39049001121,181.0804,2.283060267
39049001122,49.91964,2.283060366
39049001200,114,2.607502287
39049001300,127,2.239069111
39049001400,5,0.278241514
39049001500,53,2.384165542
39049001600,45,2.166586423
39049001700,172,6.293450421
39049001810,132,3.439291298
39049001820,66,2.693877551
39049001901,35.50204,2.514308782
39049001902,85.72502,2.431225752
39049002000,79,2.518329614
39049002100,42,2.824478816
39049002200,32,2.279202279
39049002300,23,1.273532669
39049002510,31,1.040967092
39049002520,36,1.135646688
39049002600,120,2.816143826
39049002710,452,10.65535125
39049002730,96,4.23093874
39049002740,37,1.603119584
39049002750,205,7.572958995
39049002760,47,1.435991445
39049002770,46,2.221149203
39049002780,13,0.53300533
39049002800,27,0.805970149
39049002900,27,0.915564598
39049003000,44,2.019274897
39049003200,83,4.550438596
39049003600,34,1.969872538
39049003700,52,1.25271019
39049003800,37,1.76779742
39049004000,55,2.505694761
39049004200,23,1.606145251
39049004300,91,2.151808938
39049004500,82,1.456224472
39049004610,48,1.354784081
39049004620,78,2.635135135
39049004700,153,2.775761974
39049004810,28,0.965850293
39049004820,40,1.431127013
39049004900,153,2.518933158
39049005000,83,1.252263126
39049005100,26,1.169064748
39049005200,60,2.297090352
39049005300,42,1.207243461
39049005410,37.05621,1.910485182
39049005420,30.94356,1.217596056
39049005500,95,1.766784452
39049005610,28,1.178947368
39049005620,62,2.087542088
39049005700,52,1.652892562
39049005810,48,1.684801685
39049005820,50,1.886080724
39049005900,59,1.867088608
39049006000,35,1.270878722
39049006100,76,2.482037884
39049006220,97,1.675881133
39049006230,104,1.90023753
39049006236,46.75762,0.813600487
39049006310,32,0.736817868
39049006321,27.04966,0.659426134
39049006323,39,1.185050137
39049006330,41,0.857202593
39049006340,41,1.309485787
39049006351,54,1.377199694
39049006352,91,3.198594025
39049006353,151.4055,3.467830967
39049006371,246,3.824032333
39049006372,184,3.506765771
39049006383,307,4.201450664
39049006384,166,2.536674817
39049006386,58,1.697892272
39049006387,143,2.613781758
39049006391,57,1.380479535
39049006392,38,0.813356164
39049006393,123.0148,2.183048802
39049006394,63.98517,2.18304913
39049006395,65.94104,1.710976648
39049006396,64.05896,1.710976496
39049006410,36,1.325478645
39049006430,68,1.515489191
39049006500,33,0.945017182
39049006600,19.25429,0.496500516
39049006710,39,1.435935199
39049006721,30,0.846501129
39049006722,17,0.58419244
39049006810,33,1.432913591
39049006821,66,1.864933597
39049006822,19,0.927281601
39049006910,11,0.741739717
39049006921,557,14.19831761
39049006923,124,3.703703704
39049006924,91,2.418926103
39049006931,217,3.69047619
39049006932,160,2.741603838
39049006933,340,6.735340729
39049006942,51,4.285714286
39049006943,91,2.056032535
39049006944,72,1.689347724
39049006945,239,4.734548336
39049006950,13,0.483991065
39049006990,128.9917,1.909413942
39049007010,64,1.709858402
39049007020,97,1.44884242
39049007041,51.3876,2.469370495
39049007043,81.93371,2.469370404
39049007044,126.6787,2.46937037
39049007047,73.04624,2.117896202
39049007048,106.9538,2.11789703
39049007112,65,1.641414141
39049007113,59.98251,1.380897721
39049007114,90.41455,2.27515224
39049007115,154.5854,3.067779321
39049007120,62,1.257861635
39049007132,122,1.94205667
39049007193,56,0.862998921
39049007194,43,0.641886849
39049007198,34.81739,1.276297287
39049007199,96.07605,1.779098145
39049007201,5.168176,0.756687555
39049007202,54.94144,1.77919171
39049007203,10.56902,0.756687677
39049007205,1.646435,0.756687632
39049007207,9.005796,0.75668784
39049007209,5.992388,0.756687736
39049007210,38.61819,0.756687653
39049007393,55.55007,0.814756087
39049007394,16.44993,0.814756315
39049007395,91.31632,1.796151062
39049007396,34.68368,1.796151217
39049007424,77.92962,1.53846163
39049007425,42.09064,1.414652132
39049007426,21.98303,0.737835861
39049007427,122,1.949504634
39049007492,65.99671,1.086035406
39049007494,53.97629,1.185510433
39049007511,32,1.930036188
39049007512,27.99906,0.736648133
39049007520,29.99967,0.89847267
39049007531,140,5.31712875
39049007532,147,6.547884187
39049007533,29,1.726190476
39049007534,47,1.321709786
39049007550,44.00127,2.102141543
39049007551,26.26168,0.778816133
39049007710,124,2.769093345
39049007721,371,6.176127851
39049007722,83,2.468034493
39049007730,57,2.004924376
39049007740,11,0.656716418
39049007811,44.54482,1.264400227
39049007812,50,1.151012891
39049007820,164,3.877068558
39049007830,68,2.567006418
39049007921,107,2.214862347
39049007922,103,2.38150289
39049007931,93,2.237728585
39049007933,117,1.548848292
39049007941,57,2.185582822
39049007951,70,0.936580145
39049007952,91,1.208338866
39049007953,173.7995,2.901009848
39049007954,168.2005,2.901008969
39049008000,61,1.357969724
39049008110,360,8.003557137
39049008120,97,2.579787234
39049008132,179,2.724505327
39049008141,88,1.935767708
39049008142,142,3.713389121
39049008161,92,1.794071763
39049008162,416,5.268490375
39049008163,173.8535,5.743425834
39049008164,254.1465,5.743423729
39049008210,98,4.464692483
39049008230,1827,42.55765199
39049008241,40,1.716001716
39049008242,270,4.494007989
39049008311,98,2.459222083
39049008312,154,3.489689554
39049008321,19,0.834797891
39049008322,74,1.623162974
39049008330,18,0.967221924
39049008340,46,0.830474815
39049008350,152,2.781335773
39049008360,56,0.944510035
39049008370,68.91642,1.233023708
39049008380,46,1.235230934
39049008400,26.69594,0.843207202
39049008500,79.8227,1.858070298
39049008710,22,0.791651673
39049008720,104,2.780748663
39049008730,58,2.816901408
39049008811,22.1149,1.139587912
39049008812,47,1.52350081
39049008813,22.9521,0.957934057
39049008821,13,0.479704797
39049008822,47,1.236191478
39049008825,49.93299,0.778694856
39049008900,35.00023,0.690338208
39049009000,27,0.832305795
39049009100,61,1.253596383
39049009210,131,3.093270366
39049009220,50.34864,1.969821596
39049009230,144.0516,3.090572838
39049009240,18,0.898652022
39049009250,23.75709,1.214575153
39049009311,54.02842,1.897329789
39049009312,73,2.179104478
39049009321,26.63615,1.291136694
39049009322,62.24698,1.840537552
39049009323,87,2.362204724
39049009325,278,6.793743891
39049009326,42,2.339832869
39049009331,115,7.980569049
39049009332,22,0.773558368
39049009333,57,2.553763441
39049009334,43,1.391585761
39049009336,45,1.761252446
39049009337,94,2.367161924
39049009340,115.9595,4.050279427
39049009350,115.0422,4.238248057
39049009361,74.09913,1.771785385
39049009362,104.8303,1.588135271
39049009371,173,3.254326561
39049009372,96,2.096985583
39049009373,55,1.457725948
39049009374,206,2.985939991
39049009381,163,2.825446351
39049009382,32,1.05680317
39049009383,29,1.245704467
39049009384,37,1.426918627
39049009385,44,1.290322581
39049009386,111,3.724832215
39049009390,50,1.173984503
39049009410,49,1.638795987
39049009420,96.04107,1.546100454
39049009430,56.95624,1.094049942
39049009440,49,1.467065868
39049009450,46.99995,0.809926016
39049009495,89.48125,2.19909683
39049009497,21.23073,1.204238798
39049009520,37,1.071221772
39049009590,32,0.739371534
39049009600,56,1.296596434
39049009711,60,1.289767842
39049009712,22,0.856031128
39049009720,97.08358,1.50475675
39049009740,69,0.87485736
39049009751,11,0.38787024
39049009752,45,1.116902457
39049009800,29,0.415413265
39049009900,37,2.846153846
39049010000,57.18261,1.101784393
39049010100,3.762028,0.780503734
39049010200,134.9671,2.1930964
39049010300,41.3237,1.458140438
39049010400,55.98364,1.052521903
39049010500,84.25874,1.084690268
39049010601,41.00065,2.015081912
39049010602,121.9994,2.015083137
39049010700,36,2.731411229
39049980000,0,0
